Files already downloaded and verified
Files already downloaded and verified
Epoch : 28 Iter : 200 VAT_l_f Loss : tensor(2.8178, device='cuda:0') Meta Loss : tensor(0.8409, device='cuda:0')
Epoch : 28 Iter : 300 VAT_l_f Loss : tensor(2.6752, device='cuda:0') Meta Loss : tensor(0.8269, device='cuda:0')
Epoch : 29 Iter : 0 VAT_l_f Loss : tensor(2.9477, device='cuda:0') Meta Loss : tensor(0.8801, device='cuda:0')
Epoch : 29 Iter : 100 VAT_l_f Loss : tensor(2.5854, device='cuda:0') Meta Loss : tensor(0.8044, device='cuda:0')
Epoch : 29 Iter : 200 VAT_l_f Loss : tensor(3.2584, device='cuda:0') Meta Loss : tensor(0.7589, device='cuda:0')
Epoch : 29 Iter : 300 VAT_l_f Loss : tensor(2.7788, device='cuda:0') Meta Loss : tensor(0.8167, device='cuda:0')
Epoch : 30 Iter : 0 VAT_l_f Loss : tensor(3.0807, device='cuda:0') Meta Loss : tensor(0.8473, device='cuda:0')
Epoch : 30 Iter : 100 VAT_l_f Loss : tensor(3.5583, device='cuda:0') Meta Loss : tensor(0.9285, device='cuda:0')
Epoch : 30 Iter : 200 VAT_l_f Loss : tensor(2.6213, device='cuda:0') Meta Loss : tensor(0.9194, device='cuda:0')
Epoch : 30 Iter : 300 VAT_l_f Loss : tensor(2.2681, device='cuda:0') Meta Loss : tensor(0.7632, device='cuda:0')
Train accuracy : tensor(1., device='cuda:0')
Test accuracy : tensor(0.6500, device='cuda:0')
Epoch : 31 Iter : 0 VAT_l_f Loss : tensor(2.2957, device='cuda:0') Meta Loss : tensor(0.7927, device='cuda:0')
Epoch : 31 Iter : 100 VAT_l_f Loss : tensor(2.3524, device='cuda:0') Meta Loss : tensor(0.8373, device='cuda:0')
Epoch : 31 Iter : 200 VAT_l_f Loss : tensor(2.3770, device='cuda:0') Meta Loss : tensor(0.8590, device='cuda:0')
Epoch : 31 Iter : 300 VAT_l_f Loss : tensor(3.0932, device='cuda:0') Meta Loss : tensor(0.7041, device='cuda:0')
Epoch : 32 Iter : 0 VAT_l_f Loss : tensor(4.0115, device='cuda:0') Meta Loss : tensor(0.7096, device='cuda:0')
Epoch : 32 Iter : 100 VAT_l_f Loss : tensor(2.8662, device='cuda:0') Meta Loss : tensor(0.6392, device='cuda:0')
Epoch : 32 Iter : 200 VAT_l_f Loss : tensor(1.9757, device='cuda:0') Meta Loss : tensor(0.6906, device='cuda:0')
Epoch : 32 Iter : 300 VAT_l_f Loss : tensor(2.3433, device='cuda:0') Meta Loss : tensor(0.7554, device='cuda:0')
Epoch : 33 Iter : 0 VAT_l_f Loss : tensor(2.8235, device='cuda:0') Meta Loss : tensor(0.6532, device='cuda:0')
Epoch : 33 Iter : 100 VAT_l_f Loss : tensor(2.0987, device='cuda:0') Meta Loss : tensor(0.7040, device='cuda:0')
Epoch : 33 Iter : 200 VAT_l_f Loss : tensor(2.1253, device='cuda:0') Meta Loss : tensor(0.7283, device='cuda:0')
Epoch : 33 Iter : 300 VAT_l_f Loss : tensor(2.1773, device='cuda:0') Meta Loss : tensor(0.6125, device='cuda:0')
Epoch : 34 Iter : 0 VAT_l_f Loss : tensor(2.3494, device='cuda:0') Meta Loss : tensor(0.6149, device='cuda:0')
Epoch : 34 Iter : 100 VAT_l_f Loss : tensor(2.2367, device='cuda:0') Meta Loss : tensor(0.6154, device='cuda:0')
Epoch : 34 Iter : 200 VAT_l_f Loss : tensor(2.5168, device='cuda:0') Meta Loss : tensor(0.7400, device='cuda:0')
Epoch : 34 Iter : 300 VAT_l_f Loss : tensor(2.3673, device='cuda:0') Meta Loss : tensor(0.6153, device='cuda:0')
Epoch : 35 Iter : 0 VAT_l_f Loss : tensor(1.9404, device='cuda:0') Meta Loss : tensor(0.6443, device='cuda:0')
Epoch : 35 Iter : 100 VAT_l_f Loss : tensor(2.1967, device='cuda:0') Meta Loss : tensor(0.5514, device='cuda:0')
Epoch : 35 Iter : 200 VAT_l_f Loss : tensor(1.8391, device='cuda:0') Meta Loss : tensor(0.5912, device='cuda:0')
Epoch : 35 Iter : 300 VAT_l_f Loss : tensor(1.6836, device='cuda:0') Meta Loss : tensor(0.6962, device='cuda:0')
Train accuracy : tensor(1., device='cuda:0')
Test accuracy : tensor(0.6400, device='cuda:0')
Epoch : 36 Iter : 0 VAT_l_f Loss : tensor(1.8156, device='cuda:0') Meta Loss : tensor(0.8685, device='cuda:0')
Epoch : 36 Iter : 100 VAT_l_f Loss : tensor(2.8468, device='cuda:0') Meta Loss : tensor(0.5673, device='cuda:0')
Epoch : 36 Iter : 200 VAT_l_f Loss : tensor(1.3653, device='cuda:0') Meta Loss : tensor(0.5604, device='cuda:0')
Epoch : 36 Iter : 300 VAT_l_f Loss : tensor(1.4980, device='cuda:0') Meta Loss : tensor(0.6444, device='cuda:0')
Epoch : 37 Iter : 0 VAT_l_f Loss : tensor(2.5221, device='cuda:0') Meta Loss : tensor(0.6008, device='cuda:0')
Epoch : 37 Iter : 100 VAT_l_f Loss : tensor(2.1204, device='cuda:0') Meta Loss : tensor(0.5299, device='cuda:0')
Epoch : 37 Iter : 200 VAT_l_f Loss : tensor(1.9141, device='cuda:0') Meta Loss : tensor(0.7652, device='cuda:0')
Epoch : 37 Iter : 300 VAT_l_f Loss : tensor(3.9223, device='cuda:0') Meta Loss : tensor(0.4666, device='cuda:0')
Epoch : 38 Iter : 0 VAT_l_f Loss : tensor(1.7668, device='cuda:0') Meta Loss : tensor(0.4465, device='cuda:0')
Epoch : 38 Iter : 100 VAT_l_f Loss : tensor(1.5972, device='cuda:0') Meta Loss : tensor(0.7120, device='cuda:0')
Epoch : 38 Iter : 200 VAT_l_f Loss : tensor(3.3037, device='cuda:0') Meta Loss : tensor(0.5175, device='cuda:0')
Epoch : 38 Iter : 300 VAT_l_f Loss : tensor(2.0186, device='cuda:0') Meta Loss : tensor(0.5780, device='cuda:0')
Epoch : 39 Iter : 0 VAT_l_f Loss : tensor(2.0962, device='cuda:0') Meta Loss : tensor(0.4828, device='cuda:0')
Epoch : 39 Iter : 100 VAT_l_f Loss : tensor(1.8820, device='cuda:0') Meta Loss : tensor(0.4484, device='cuda:0')
Epoch : 39 Iter : 200 VAT_l_f Loss : tensor(1.4441, device='cuda:0') Meta Loss : tensor(0.5802, device='cuda:0')
Epoch : 39 Iter : 300 VAT_l_f Loss : tensor(1.1960, device='cuda:0') Meta Loss : tensor(0.5630, device='cuda:0')
Epoch : 40 Iter : 0 VAT_l_f Loss : tensor(1.6777, device='cuda:0') Meta Loss : tensor(0.6846, device='cuda:0')
Epoch : 40 Iter : 100 VAT_l_f Loss : tensor(2.3186, device='cuda:0') Meta Loss : tensor(0.8308, device='cuda:0')
Epoch : 40 Iter : 200 VAT_l_f Loss : tensor(1.6720, device='cuda:0') Meta Loss : tensor(0.8065, device='cuda:0')
Epoch : 40 Iter : 300 VAT_l_f Loss : tensor(1.8791, device='cuda:0') Meta Loss : tensor(0.4581, device='cuda:0')
Train accuracy : tensor(1., device='cuda:0')
Test accuracy : tensor(0.5800, device='cuda:0')
Epoch : 41 Iter : 0 VAT_l_f Loss : tensor(1.7456, device='cuda:0') Meta Loss : tensor(0.6225, device='cuda:0')
